id,county
491,bungoma
492,muranga
493,bungoma
494,bungoma
495,muranga
496,muranga
497,muranga
498,bungoma
499,bungoma
500,bungoma
501,muranga
502,muranga
503,bungoma
504,bungoma
505,muranga
506,muranga
507,bungoma
508,muranga
509,bungoma
510,bungoma
511,muranga
512,bungoma
513,bungoma
514,muranga
515,muranga
516,muranga
517,bungoma
518,bungoma
519,bungoma
520,muranga
521,muranga
522,bungoma
523,muranga
524,bungoma
525,bungoma
526,bungoma
527,muranga
528,muranga
529,bungoma
530,muranga
531,muranga
532,muranga
533,muranga
534,bungoma
535,muranga
536,bungoma
537,bungoma
538,muranga
539,bungoma
540,muranga
541,muranga
542,muranga
543,muranga
544,muranga
545,muranga
546,muranga
547,bungoma
548,muranga
549,bungoma
550,muranga
551,bungoma
552,bungoma
553,bungoma
554,muranga
555,bungoma
556,muranga
557,muranga
558,muranga
559,bungoma
560,bungoma
561,muranga
562,muranga
563,bungoma
564,muranga
565,bungoma
566,muranga
567,bungoma
568,bungoma
569,bungoma
570,muranga
571,bungoma
572,muranga
573,bungoma
574,bungoma
575,bungoma
576,muranga
577,bungoma
578,bungoma
579,bungoma
580,bungoma
581,bungoma
582,muranga
583,muranga
584,bungoma
585,muranga
586,bungoma
587,bungoma
588,muranga
589,bungoma
590,muranga
591,bungoma
592,muranga
593,bungoma
594,bungoma
595,muranga
596,bungoma
597,muranga
598,bungoma
599,bungoma
600,muranga
601,muranga
602,bungoma
603,bungoma
604,muranga
605,bungoma
606,muranga
607,muranga
608,bungoma
609,bungoma
610,muranga
611,bungoma
612,muranga
613,bungoma
614,bungoma
615,muranga
616,bungoma
617,bungoma
618,bungoma
619,bungoma
620,bungoma
621,bungoma
622,muranga
623,muranga
624,muranga
625,bungoma
626,muranga
627,bungoma
628,bungoma
629,bungoma
630,muranga
631,muranga
632,muranga
633,muranga
634,bungoma
635,bungoma
636,muranga
637,muranga
638,muranga
639,bungoma
640,bungoma
641,muranga
642,bungoma
643,muranga
644,muranga
645,muranga
646,muranga
647,muranga
648,muranga
649,muranga
650,bungoma
651,bungoma
652,muranga
653,muranga
654,bungoma
655,muranga
656,muranga
657,muranga
658,muranga
659,bungoma
660,muranga
661,muranga
662,muranga
663,bungoma
664,muranga
665,bungoma
666,bungoma
667,muranga
668,muranga
669,muranga
670,bungoma
671,muranga
672,muranga
673,bungoma
674,muranga
675,bungoma
676,muranga
677,bungoma
678,bungoma
679,muranga
680,bungoma
681,muranga
682,bungoma
683,muranga
684,muranga
685,muranga
686,bungoma
687,muranga
688,bungoma
689,muranga
690,muranga
691,muranga
692,muranga
693,bungoma
694,bungoma
695,bungoma
696,muranga
697,bungoma
698,bungoma
699,bungoma
700,muranga
701,muranga
702,bungoma
703,bungoma
704,muranga
705,bungoma
706,muranga
707,muranga
708,muranga
709,muranga
710,bungoma
711,bungoma
712,bungoma
713,muranga
714,muranga
715,bungoma
716,bungoma
717,bungoma
718,bungoma
719,bungoma
720,muranga
721,bungoma
722,bungoma
723,muranga
724,bungoma
725,bungoma
726,bungoma
727,bungoma
728,muranga
729,muranga
730,muranga
731,bungoma
732,muranga
733,muranga
734,bungoma
735,bungoma
736,bungoma
737,bungoma
738,muranga
739,bungoma
740,bungoma
741,bungoma
742,bungoma
743,muranga
744,bungoma
745,bungoma
746,bungoma
747,bungoma
748,muranga
749,muranga
750,muranga
751,bungoma
752,muranga
753,bungoma
754,muranga
755,muranga
756,muranga
757,muranga
758,bungoma
759,muranga
760,muranga
761,bungoma
762,muranga
763,bungoma
764,muranga
765,bungoma
766,bungoma
767,bungoma
768,bungoma
769,bungoma
770,bungoma
771,muranga
772,muranga
773,muranga
774,muranga
775,muranga
776,muranga
777,muranga
778,muranga
779,bungoma
780,muranga
781,bungoma
782,bungoma
783,bungoma
784,bungoma
785,muranga
786,bungoma
787,bungoma
788,bungoma
789,bungoma
790,muranga
791,muranga
792,muranga
793,bungoma
794,bungoma
795,bungoma
796,muranga
797,muranga
798,muranga
799,muranga
