id,lat,lon,stratum,stratum_label,in_pilot,county
0,-0.760156744392739,36.851705847010756,0,Non-cropland,False,muranga
1,0.6669503045603383,34.52082211150123,0,Non-cropland,False,bungoma
2,0.9600372206568236,34.501313402456134,0,Non-cropland,False,bungoma
3,-1.002631841862806,37.38781660458934,0,Non-cropland,False,muranga
4,0.6166700112060607,34.511212121360956,1,Cropland,False,bungoma
5,0.5672897702519285,34.425156274501475,1,Cropland,False,bungoma
6,0.8761210575857593,34.60570839065135,1,Cropland,False,bungoma
7,-0.6304818098056061,36.979186537552714,1,Cropland,False,muranga
8,-0.7879570588481972,37.02777261668087,1,Cropland,False,muranga
9,-0.8270308810449285,36.94941942582796,1,Cropland,False,muranga
10,-0.9451608678738677,37.06659017915657,1,Cropland,False,muranga
11,-0.6289472981666178,36.96224374708359,1,Cropland,False,muranga
12,0.545866577392121,34.69213275718424,0,Non-cropland,False,bungoma
13,0.7551237876231773,34.60283686867515,1,Cropland,False,bungoma
14,-0.6666683119427008,37.1909279231376,1,Cropland,False,muranga
15,-0.7156723725007085,37.05914938446096,0,Non-cropland,False,muranga
16,0.643621774352764,34.601132735448964,1,Cropland,False,bungoma
17,-1.0050823529573853,37.07116252258583,0,Non-cropland,False,muranga
18,0.7159670442159877,34.82131215378505,1,Cropland,False,bungoma
19,0.6542940690022532,34.73426351521279,1,Cropland,False,bungoma
20,-0.7121528387543259,37.04390955023081,0,Non-cropland,False,muranga
21,-0.757083699646377,36.774519723553865,0,Non-cropland,False,muranga
22,0.6925458243696213,34.628710237584436,1,Cropland,False,bungoma
23,-0.7493301592456235,36.90890115664566,0,Non-cropland,False,muranga
24,-0.945612083259535,37.0673073902501,0,Non-cropland,False,muranga
25,0.687115969133975,34.50914303220326,1,Cropland,False,bungoma
26,-0.9929880059180373,37.179104175312524,0,Non-cropland,False,muranga
27,-0.79003199405577,36.982679784843974,1,Cropland,False,muranga
28,-0.7998690941690497,37.10675235199515,1,Cropland,False,muranga
