id,stratum,county,stacnotator_label_name
643,1,muranga,1
644,1,muranga,1
645,1,muranga,1
646,1,muranga,0
647,0,muranga,0
648,1,muranga,1
649,1,muranga,0
652,1,muranga,1
653,0,muranga,0
655,1,muranga,1
656,0,muranga,0
657,0,muranga,0
658,1,muranga,1
660,0,muranga,0
661,0,muranga,0
662,1,muranga,1
664,0,muranga,0
667,1,muranga,1
668,0,muranga,0
669,0,muranga,0
671,1,muranga,1
672,1,muranga,1
674,1,muranga,1
676,0,muranga,0
679,0,muranga,0
681,1,muranga,1
683,0,muranga,0
684,1,muranga,1
685,0,muranga,0
687,0,muranga,0
689,1,muranga,1
690,0,muranga,0
691,1,muranga,1
692,0,muranga,0
696,1,muranga,1
700,0,muranga,0
701,0,muranga,0
704,1,muranga,1
706,1,muranga,1
707,0,muranga,0
708,1,muranga,1
709,0,muranga,0
713,1,muranga,1
714,0,muranga,0
720,0,muranga,0
723,0,muranga,0
728,0,muranga,0
729,0,muranga,0
730,0,muranga,0
732,0,muranga,1
733,1,muranga,1
738,0,muranga,0
743,0,muranga,1
748,1,muranga,1
749,1,muranga,1
750,1,muranga,1
752,0,muranga,0
754,0,muranga,0
755,1,muranga,1
756,0,muranga,0
757,0,muranga,0
759,0,muranga,0
760,0,muranga,0
762,1,muranga,0
764,0,muranga,0
771,0,muranga,0
772,0,muranga,0
773,0,muranga,0
774,0,muranga,1
775,1,muranga,1
776,1,muranga,1
777,0,muranga,0
778,1,muranga,1
780,0,muranga,0
785,0,muranga,0
790,0,muranga,0
791,1,muranga,1
792,1,muranga,1
796,0,muranga,1
797,0,muranga,0
798,1,muranga,1
799,0,muranga,0
